ID,Артикул,Производитель,Название,Ед. Изм.,Кол-во,Кол. Вн. склады,Цена
133382,133382,ЭЛЕКТРОМЕХАНИКА,"4 х 0,75",м,40,,45.0
2289,EM0002289,ЭЛЕКТРОМЕХАНИКА,"1,0 ж/з",м,1000,,6.16
31836,EM0031836,ЭЛЕКТРОМЕХАНИКА,"0,5 синий (бухта 100м)",м,100,,5.54
31838,EM0031838,ЭЛЕКТРОМЕХАНИКА,"1,0 синий (бухта 100м)",м,400,,9.1
2374,EM0002374,ЭЛЕКТРОМЕХАНИКА,"0,5 ж/з (бухта 100м)",м,800,,2.73
2386,EM0002386,ЭЛЕКТРОМЕХАНИКА,"1,0 ж/з (бухта 100м)",м,2691,,9.1
2380,EM0002380,ЭЛЕКТРОМЕХАНИКА,"0,75 ж/з (бухта 100м)",м,113,,6.6
6225,6225,ЭЛЕКТРОМЕХАНИКА,Болт М10х25,шт,8,,0.0
6226,6226,ЭЛЕКТРОМЕХАНИКА,Болт М10х45 (20шт),кг,5,,0.0
18317,18317,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 39 315А,шт,2,,472.39
15487,15487,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 10А,шт,11,,117.15
13994,13994,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 50А,шт,15,,241.78
15471,15471,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 37 160А,шт,20,,316.51
12343,12343,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 37 100А,шт,8,,411.79
9929,9929,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 63А,шт,2,,241.78
9928,9928,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 80А,шт,6,,241.78
8520,8520,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 100А,шт,11,,241.78
9625,9625,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 25А,шт,14,,117.15
9511,9511,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 32А,шт,15,,117.15
9626,9626,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 40А,шт,6,,117.15
7606,33773,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 100А,шт,21,,117.15
7604,33778,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 37 400А,шт,11,,328.0
8287,8287,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 16А,шт,2,,117.15
7605,33775,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 250А,шт,33,,241.78
7955,7955,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 160А,шт,28,,241.78
8416,8416,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 80А,шт,42,,120.21
7609,EM0007609,ЭЛЕКТРОМЕХАНИКА,Контактное основание с держ. к ППН 33,шт,20,,196.59
7608,33761,ЭЛЕКТРОМЕХАНИКА,Контактное основание с держ. к ППН 35,шт,2,,263.43
7513,33782,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 39 500А,шт,3,,964.12
7512,7512,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 39 630А,шт,3,,964.12
12101,12101,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 50А,шт,10,,117.15
10184,10184,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 35 200А,шт,11,,241.78
9367,9367,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 63А,шт,9,,117.15
17038,17038,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 39 250А,шт,6,,472.39
33545,33545,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 6А,шт,16,,117.15
37372,37372,ЭЛЕКТРОМЕХАНИКА,Предохранитель ППН 33 160А,шт,5,,117.15
7324,33615Ч,ЭЛЕКТРОМЕХАНИКА,Пост кнопочный КУ-92,шт,3,,2600.0
4004,33638,ЭЛЕКТРОМЕХАНИКА,Пост кнопочный ПКТ-20,шт,5,,155.14
3999,33633,ЭЛЕКТРОМЕХАНИКА,Пост кнопочный ПКЕ 222-2,шт,5,,177.77
4000,33634,ЭЛЕКТРОМЕХАНИКА,Пост кнопочный ПКЕ 222-3,шт,1,,243.52
4003,33637,ЭЛЕКТРОМЕХАНИКА,Пост кнопочный ПКЕ 722-2,шт,1,,70.6
4009,4009,ЭЛЕКТРОМЕХАНИКА,Пост кнопочный ПКУ 15-21.111-54,шт,2,,699.69
140241,110672,ЭЛЕКТРОМЕХАНИКА,Приставка ПКЛ-11 УХЛ4,шт,4,328.0,324.48
8739,8739,ЭЛЕКТРОМЕХАНИКА,"Трансформатор ОСМ 1 0,25 кВА 380 / 5-56",шт,1,,2563.44
3808,302313,ЭЛЕКТРОМЕХАНИКА,Автоматический выключатель АП50Б 3МТ 3P 16 А 10 Iн,шт,5,,760.54
257641,257641,ЭЛЕКТРОМЕХАНИКА,Автоматический выключатель АЕ2066МТ 100 А,шт,4,,2686.52
3823,3823,ЭЛЕКТРОМЕХАНИКА,ВА 5135 340010 63А,шт,1,,2462.9
3829,302415,ЭЛЕКТРОМЕХАНИКА,ВА 5135 340010 250А,шт,1,,2721.88
56533,56533,ЭЛЕКТРОМЕХАНИКА,ВА 5735 340010 200А,шт,1,,4195.96
140042,39867,ЭЛЕКТРОМЕХАНИКА,Микро-переключатель 1221 (on-off-on),шт,220,,15.52
